City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
521,Nagpur,75,IN,19800,61,21.15,79.1,77.02,2.3
522,Trairi,23,BR,-10800,50,-3.2778,-39.2689,90.01,18.3
523,Buin,0,CL,-10800,24,-33.7333,-70.75,85.05,9.17
524,Kovylkino,100,RU,10800,94,54.0388,43.9139,27.95,8.1
525,St. George's,20,GD,-14400,70,12.0564,-61.7485,85.68,20.71
526,Vulcan,100,RO,7200,87,45.3833,23.2667,36.73,7.47
527,Forsytheganj,100,BY,10800,95,52.6333,29.7333,41.27,7.9
528,Nueva Loja,75,EC,-18000,88,0.0847,-76.8828,81.88,6.91
529,Muli,13,MV,18000,79,2.9167,73.5667,82.44,19.26
530,Bathsheba,40,BB,-14400,58,13.2167,-59.5167,88.41,16.11
531,Warrington,40,GB,0,83,53.3925,-2.5802,56.86,1.01
532,Richards Bay,100,ZA,7200,69,-28.783,32.0377,66.69,6.53
533,Ndélé,29,CF,3600,32,8.4109,20.6473,86.38,2.08
534,Farsund,41,NO,3600,59,58.0948,6.8047,51.06,32.61
535,Qasigiannguit,43,GL,-10800,80,68.8193,-51.1922,8.85,7.65
536,Visnes,75,NO,3600,76,59.3556,5.2242,51.69,27.63
537,Zhigansk,99,RU,32400,97,66.7697,123.3711,-16.69,3.62
538,Yumen,33,CN,28800,44,40.2833,97.2,28.45,10.04
539,Neftçala,75,AZ,14400,79,39.3742,49.2472,52.09,5.1
540,Daram,71,PH,28800,84,11.6341,124.7947,78.73,4.92
541,Guía de Isora,1,ES,0,52,28.2115,-16.7795,67.12,1.99
542,San Juan Bautista,100,PE,-18000,32,-14.0108,-75.7358,63.23,5.79
543,Dillon,69,US,-18000,27,34.4166,-79.3712,56.25,17.78
544,Cancún,75,MX,-18000,74,21.1743,-86.8466,82.33,5.75
545,Pasil,89,PH,28800,93,17.3833,121.1333,64.04,1.52
546,Tagusao,46,PH,28800,80,9.1924,117.8141,80.26,0.72
